ID,INV,DATE,CATALOG,PCODE,QTY,CUSTNUM,ORIGEN
23,135872,2000-11-15,TOYS,TY1200,4,"Kraft, Ms. Rose",CATALOG
24,135872,2000-11-15,TOYS,TY2100,1,"Kraft, Ms. Rose",CATALOG
25,135872,2000-11-15,TOYS,TY2300,1,"Kraft, Ms. Rose",CATALOG
26,135872,2000-11-15,TOYS,TY4100,1,"Kraft, Ms. Rose",CATALOG
27,140623,2000-12-10,SOFTWARE,SW8511,4,"Kraft, Ms. Rose",CATALOG
28,118448,1997-05-08,PETS,PT3500,3,"Yang, Ms. Joan",CATALOG
29,121273,1997-05-23,TOYS,TY1800,2,"Yang, Ms. Joan",CATALOG
30,143116,1997-09-15,SPORTS,SP2400,4,"Yang, Ms. Joan",CATALOG
31,157565,1997-12-01,SPORTS,SP2700,4,"Yang, Ms. Joan",CATALOG
32,170191,1998-02-12,PETS,PT4300,1,"Yang, Ms. Joan",CATALOG
33,243375,1998-04-21,SPORTS,SP1600,2,"Yang, Ms. Joan",CATALOG
34,243375,1998-04-21,SPORTS,SP2000,3,"Yang, Ms. Joan",CATALOG
35,243375,1998-04-21,SPORTS,SP3000,4,"Yang, Ms. Joan",CATALOG
36,184709,1998-04-24,PETS,PT3300,1,"Yang, Ms. Joan",CATALOG
38,184709,1998-04-24,PETS,PT4200,1,"Yang, Ms. Joan",CATALOG
39,184709,1998-04-24,PETS,PT4500,1,"Yang, Ms. Joan",CATALOG
40,196588,1998-06-15,GARDENING,GD1001,1,"Yang, Ms. Joan",CATALOG
41,196588,1998-06-15,GARDENING,GD1400,1,"Yang, Ms. Joan",CATALOG
42,196588,1998-06-15,GARDENING,GD4000,1,"Yang, Ms. Joan",CATALOG
43,203157,1998-07-13,TOYS,TY4700,1,"Yang, Ms. Joan",CATALOG
44,204292,1998-07-18,SPORTS,SP1100,2,"Yang, Ms. Joan",CATALOG
45,227219,1998-10-23,SPORTS,SP1500,1,"Yang, Ms. Joan",CATALOG
46,232145,1998-11-13,SOFTWARE,SW3895,1,"Yang, Ms. Joan",CATALOG
47,240570,1998-12-19,PETS,PT3300,1,"Yang, Ms. Joan",CATALOG
48,240783,1998-12-20,TOYS,TY5200,4,"Yang, Ms. Joan",CATALOG
49,242124,1998-12-26,COLLECTIBLES,CC3200,1,"Yang, Ms. Joan",CATALOG
50,118448,2000-08-15,PETS,PT3500,3,"Yang, Ms. Joan",CATALOG
51,121273,2000-08-30,TOYS,TY1800,2,"Yang, Ms. Joan",CATALOG
52,170191,2001-05-22,PETS,PT4300,1,"Yang, Ms. Joan",CATALOG
53,100376,1997-01-15,PETS,PT2100,1,"Hinfelt, Mr. B. K.",CATALOG
54,142332,1997-09-11,TOYS,TY1100,2,"Hinfelt, Mr. B. K.",CATALOG
55,142332,1997-09-11,TOYS,TY3200,2,"Hinfelt, Mr. B. K.",CATALOG
56,142332,1997-09-11,TOYS,TY4200,1,"Hinfelt, Mr. B. K.",CATALOG
57,142332,1997-09-11,TOYS,TY5300,1,"Hinfelt, Mr. B. K.",CATALOG
58,157181,1997-11-29,SPORTS,SP1200,1,"Hinfelt, Mr. B. K.",CATALOG
59,167282,1998-01-26,SPORTS,SP2200,1,"Hinfelt, Mr. B. K.",CATALOG
60,167282,1998-01-26,SPORTS,SP2300,1,"Hinfelt, Mr. B. K.",CATALOG
61,167282,1998-01-26,SPORTS,SP2400,1,"Hinfelt, Mr. B. K.",CATALOG
62,176148,1998-03-15,SOFTWARE,SW7935,1,"Hinfelt, Mr. B. K.",CATALOG
63,243374,1998-04-21,COLLECTIBLES,CC1100,1,"Hinfelt, Mr. B. K.",CATALOG
64,243374,1998-04-21,COLLECTIBLES,CC3300,2,"Hinfelt, Mr. B. K.",CATALOG
65,243374,1998-04-21,COLLECTIBLES,CC3500,3,"Hinfelt, Mr. B. K.",CATALOG
66,243374,1998-04-21,COLLECTIBLES,CC3500,1,"Hinfelt, Mr. B. K.",CATALOG
67,243376,1998-04-21,PETS,PT2300,2,"Hinfelt, Mr. B. K.",CATALOG
68,243376,1998-04-21,PETS,PT3100,2,"Hinfelt, Mr. B. K.",CATALOG
69,243376,1998-04-21,PETS,PT3200,1,"Hinfelt, Mr. B. K.",CATALOG
70,243376,1998-04-21,PETS,PT3200,2,"Hinfelt, Mr. B. K.",CATALOG
71,190557,1998-05-20,TOYS,TY1300,1,"Hinfelt, Mr. B. K.",CATALOG
72,190557,1998-05-20,TOYS,TY2400,4,"Hinfelt, Mr. B. K.",CATALOG
73,190557,1998-05-20,TOYS,TY3300,1,"Hinfelt, Mr. B. K.",CATALOG
74,228620,1998-10-29,PETS,PT2100,3,"Hinfelt, Mr. B. K.",CATALOG
75,228620,1998-10-29,PETS,PT2200,1,"Hinfelt, Mr. B. K.",CATALOG
76,228620,1998-10-29,PETS,PT3100,1,"Hinfelt, Mr. B. K.",CATALOG
77,100376,2000-04-24,PETS,PT2100,1,"Hinfelt, Mr. B. K.",CATALOG
78,142332,2000-12-19,TOYS,TY1100,2,"Hinfelt, Mr. B. K.",CATALOG
79,142332,2000-12-19,TOYS,TY3200,2,"Hinfelt, Mr. B. K.",CATALOG
80,142332,2000-12-19,TOYS,TY4200,1,"Hinfelt, Mr. B. K.",CATALOG
81,142332,2000-12-19,TOYS,TY5300,1,"Hinfelt, Mr. B. K.",CATALOG
82,99643,1997-01-09,GARDENING,GD3400,3,"Jones, Mr. T. J.",CATALOG
83,106468,1997-02-27,COLLECTIBLES,CC1200,1,"Jones, Mr. T. J.",CATALOG
84,137742,1997-08-18,SPORTS,SP3400,1,"Jones, Mr. T. J.",CATALOG
85,155256,1997-11-19,PETS,PT2200,3,"Jones, Mr. T. J.",CATALOG
86,159666,1997-12-12,TOYS,TY3800,1,"Jones, Mr. T. J.",CATALOG
87,163044,1997-12-30,PETS,PT3200,2,"Jones, Mr. T. J.",CATALOG
88,184049,1998-04-21,PETS,PT2000,1,"Jones, Mr. T. J.",CATALOG
89,230510,1998-11-06,GARDENING,GD1400,1,"Jones, Mr. T. J.",CATALOG
90,234466,1998-11-23,SPORTS,SP1200,1,"Jones, Mr. T. J.",CATALOG
91,234466,1998-11-23,SPORTS,SP2000,1,"Jones, Mr. T. J.",CATALOG
92,234466,1998-11-23,SPORTS,SP2300,1,"Jones, Mr. T. J.",CATALOG
93,234466,1998-11-23,SPORTS,SP2700,2,"Jones, Mr. T. J.",CATALOG
94,239179,1998-12-13,PETS,PT2300,2,"Jones, Mr. T. J.",CATALOG
95,155256,2001-02-26,PETS,PT2200,3,"Jones, Mr. T. J.",CATALOG
96,159666,2001-03-21,TOYS,TY3800,1,"Jones, Mr. T. J.",CATALOG
97,163044,2001-04-08,PETS,PT3200,2,"Jones, Mr. T. J.",CATALOG
98,106313,1997-02-26,SPORTS,SP3100,1,"Gibson, Mr. R. K.",CATALOG
99,108795,1997-03-14,SOFTWARE,SW2123,1,"Gibson, Mr. R. K.",CATALOG
100,135315,1997-08-05,COLLECTIBLES,CC2200,1,"Gibson, Mr. R. K.",CATALOG
101,153919,1997-11-12,PETS,PT4300,1,"Gibson, Mr. R. K.",CATALOG
102,165820,1998-01-17,SPORTS,SP1500,1,"Gibson, Mr. R. K.",CATALOG
103,168450,1998-02-02,PETS,PT2400,1,"Gibson, Mr. R. K.",CATALOG
104,175728,1998-03-13,SPORTS,SP1300,4,"Gibson, Mr. R. K.",CATALOG
105,243349,1998-03-28,PETS,PT3100,1,"Gibson, Mr. R. K.",CATALOG
106,184269,1998-04-22,GARDENING,GD1100,1,"Gibson, Mr. R. K.",CATALOG
107,191908,1998-05-26,SOFTWARE,SW5338,1,"Gibson, Mr. R. K.",CATALOG
108,195651,1998-06-11,GARDENING,GD1001,1,"Gibson, Mr. R. K.",CATALOG
109,207342,1998-07-31,TOYS,TY1100,2,"Gibson, Mr. R. K.",CATALOG
110,207342,1998-07-31,TOYS,TY3100,1,"Gibson, Mr. R. K.",CATALOG
111,207342,1998-07-31,TOYS,TY3500,2,"Gibson, Mr. R. K.",CATALOG
112,217071,1998-09-10,COLLECTIBLES,CC2400,4,"Gibson, Mr. R. K.",CATALOG
113,237054,1998-12-04,PETS,PT4300,4,"Gibson, Mr. R. K.",CATALOG
114,106313,2000-06-05,SPORTS,SP3100,1,"Gibson, Mr. R. K.",CATALOG
115,108795,2000-06-21,SOFTWARE,SW2123,1,"Gibson, Mr. R. K.",CATALOG
116,135315,2000-11-12,COLLECTIBLES,CC2200,1,"Gibson, Mr. R. K.",CATALOG
117,153919,2001-02-19,PETS,PT4300,1,"Gibson, Mr. R. K.",CATALOG
118,165820,2001-04-26,SPORTS,SP1500,1,"Gibson, Mr. R. K.",CATALOG
119,168450,2001-05-12,PETS,PT2400,1,"Gibson, Mr. R. K.",CATALOG
120,124051,1997-06-07,PETS,PT1400,1,"Rose, Mr. J. L.",CATALOG
121,124051,1997-06-07,PETS,PT2200,1,"Rose, Mr. J. L.",CATALOG
122,124051,1997-06-07,PETS,PT3100,1,"Rose, Mr. J. L.",CATALOG
123,124814,1997-06-11,SOFTWARE,SW3895,3,"Rose, Mr. J. L.",CATALOG
124,139856,1997-08-29,TOYS,TY4400,1,"Rose, Mr. J. L.",CATALOG
125,183082,1998-04-17,SPORTS,SP2700,1,"Rose, Mr. J. L.",CATALOG
126,196370,1998-06-14,GARDENING,GD1500,1,"Rose, Mr. J. L.",CATALOG
127,206396,1998-07-27,SPORTS,SP2400,1,"Rose, Mr. J. L.",CATALOG
128,220145,1998-09-23,PETS,PT1200,1,"Rose, Mr. J. L.",CATALOG
129,223035,1998-10-05,SPORTS,SP2500,1,"Rose, Mr. J. L.",CATALOG
130,229811,1998-11-03,PETS,PT4200,1,"Rose, Mr. J. L.",CATALOG
131,233331,1998-11-18,TOYS,TY1100,1,"Rose, Mr. J. L.",CATALOG
132,124051,2000-09-14,PETS,PT1400,1,"Rose, Mr. J. L.",CATALOG
133,124051,2000-09-14,PETS,PT2200,1,"Rose, Mr. J. L.",CATALOG
134,124051,2000-09-14,PETS,PT3100,1,"Rose, Mr. J. L.",CATALOG
135,124814,2000-09-18,SOFTWARE,SW3895,3,"Rose, Mr. J. L.",CATALOG
136,139856,2000-12-06,TOYS,TY4400,1,"Rose, Mr. J. L.",CATALOG
137,139658,1997-08-28,TOYS,TY1700,4,"Jones, Ms. Sallie",CATALOG
138,173209,1998-02-28,SPORTS,SP3400,1,"Jones, Ms. Sallie",CATALOG
139,175132,1998-03-10,PETS,PT3500,1,"Jones, Ms. Sallie",CATALOG
140,189145,1998-05-14,GARDENING,GD1400,1,"Jones, Ms. Sallie",CATALOG
141,194930,1998-06-08,TOYS,TY1750,1,"Jones, Ms. Sallie",CATALOG
142,194930,1998-06-08,TOYS,TY1750,2,"Jones, Ms. Sallie",CATALOG
143,194930,1998-06-08,TOYS,TY3800,1,"Jones, Ms. Sallie",CATALOG
144,194930,1998-06-08,TOYS,TY4100,2,"Jones, Ms. Sallie",CATALOG
145,195397,1998-06-10,SPORTS,SP2000,1,"Jones, Ms. Sallie",CATALOG
146,195397,1998-06-10,SPORTS,SP2000,4,"Jones, Ms. Sallie",CATALOG
147,195397,1998-06-10,SPORTS,SP2400,3,"Jones, Ms. Sallie",CATALOG
148,202947,1998-07-12,PETS,PT3100,1,"Jones, Ms. Sallie",CATALOG
149,203167,1998-07-13,SPORTS,SP3400,4,"Jones, Ms. Sallie",CATALOG
150,234924,1998-11-25,SOFTWARE,SW8376,1,"Jones, Ms. Sallie",CATALOG
151,139658,2000-12-05,TOYS,TY1700,4,"Jones, Ms. Sallie",CATALOG
152,121082,1997-05-22,SPORTS,SP2400,1,"Montrose, Mr. B. T.",CATALOG
153,132255,1997-07-20,PETS,PT3100,1,"Montrose, Mr. B. T.",CATALOG
154,140829,1997-09-03,SOFTWARE,SW2123,1,"Montrose, Mr. B. T.",CATALOG
155,173210,1998-02-28,SPORTS,SP2700,4,"Montrose, Mr. B. T.",CATALOG
156,192165,1998-05-27,SOFTWARE,SW7585,1,"Montrose, Mr. B. T.",CATALOG
157,197088,1998-06-17,GARDENING,GD2100,2,"Montrose, Mr. B. T.",CATALOG
158,207785,1998-08-02,SPORTS,SP2400,1,"Montrose, Mr. B. T.",CATALOG
159,237791,1998-12-07,PETS,PT1000,1,"Montrose, Mr. B. T.",CATALOG
160,237791,1998-12-07,PETS,PT2400,1,"Montrose, Mr. B. T.",CATALOG
161,237791,1998-12-07,PETS,PT3200,1,"Montrose, Mr. B. T.",CATALOG
162,237791,1998-12-07,PETS,PT4200,1,"Montrose, Mr. B. T.",CATALOG
163,238016,1998-12-08,PETS,PT2400,1,"Montrose, Mr. B. T.",CATALOG
164,238016,1998-12-08,PETS,PT3500,1,"Montrose, Mr. B. T.",CATALOG
165,238016,1998-12-08,PETS,PT4300,3,"Montrose, Mr. B. T.",CATALOG
166,140829,2000-12-11,SOFTWARE,SW2123,1,"Montrose, Mr. B. T.",CATALOG
167,136667,1997-08-12,TOYS,TY2400,1,"Monsano, Ms. A. M.",CATALOG
168,136667,1997-08-12,TOYS,TY3700,1,"Monsano, Ms. A. M.",CATALOG
169,136667,1997-08-12,TOYS,TY4600,1,"Monsano, Ms. A. M.",CATALOG
170,136667,1997-08-12,TOYS,TY5100,4,"Monsano, Ms. A. M.",CATALOG
171,139067,1997-08-25,TOYS,TY5400,3,"Monsano, Ms. A. M.",CATALOG
172,141782,1997-09-08,COLLECTIBLES,CC3400,2,"Monsano, Ms. A. M.",CATALOG
173,145415,1997-09-27,PETS,PT2100,1,"Monsano, Ms. A. M.",CATALOG
174,146158,1997-10-01,PETS,PT4500,1,"Monsano, Ms. A. M.",CATALOG
175,158712,1997-12-07,SPORTS,SP2600,1,"Monsano, Ms. A. M.",CATALOG
176,159270,1997-12-10,TOYS,TY5300,1,"Monsano, Ms. A. M.",CATALOG
177,163238,1997-12-31,COLLECTIBLES,CC4300,3,"Monsano, Ms. A. M.",CATALOG
178,172258,1998-02-23,TOYS,TY1600,1,"Monsano, Ms. A. M.",CATALOG
179,185573,1998-04-28,COLLECTIBLES,CC3400,1,"Monsano, Ms. A. M.",CATALOG
180,186021,1998-04-30,TOYS,TY1300,1,"Monsano, Ms. A. M.",CATALOG
181,186021,1998-04-30,TOYS,TY1500,1,"Monsano, Ms. A. M.",CATALOG
182,186021,1998-04-30,TOYS,TY3500,1,"Monsano, Ms. A. M.",CATALOG
183,217533,1998-09-12,TOYS,TY4200,1,"Monsano, Ms. A. M.",CATALOG
184,220388,1998-09-24,SOFTWARE,SW1207,1,"Monsano, Ms. A. M.",CATALOG
185,234048,1998-11-21,SPORTS,SP1600,1,"Monsano, Ms. A. M.",CATALOG
186,136667,2000-11-19,TOYS,TY2400,1,"Monsano, Ms. A. M.",CATALOG
187,136667,2000-11-19,TOYS,TY3700,1,"Monsano, Ms. A. M.",CATALOG
188,136667,2000-11-19,TOYS,TY4600,1,"Monsano, Ms. A. M.",CATALOG
189,136667,2000-11-19,TOYS,TY5100,4,"Monsano, Ms. A. M.",CATALOG
190,139067,2000-12-02,TOYS,TY5400,3,"Monsano, Ms. A. M.",CATALOG
191,141782,2000-12-16,COLLECTIBLES,CC3400,2,"Monsano, Ms. A. M.",CATALOG
192,145415,2001-01-04,PETS,PT2100,1,"Monsano, Ms. A. M.",CATALOG
193,146158,2001-01-08,PETS,PT4500,1,"Monsano, Ms. A. M.",CATALOG
194,158712,2001-03-16,SPORTS,SP2600,1,"Monsano, Ms. A. M.",CATALOG
195,159270,2001-03-19,TOYS,TY5300,1,"Monsano, Ms. A. M.",CATALOG
196,163238,2001-04-09,COLLECTIBLES,CC4300,3,"Monsano, Ms. A. M.",CATALOG
197,99756,1997-01-10,PETS,PT1100,3,"Monsano, Ms. A. Margaret",CATALOG
198,99756,1997-01-10,PETS,PT3100,1,"Monsano, Ms. A. Margaret",CATALOG
199,99756,1997-01-10,PETS,PT3500,3,"Monsano, Ms. A. Margaret",CATALOG
200,130740,1997-07-12,SOFTWARE,SW1828,1,"Monsano, Ms. A. Margaret",CATALOG
201,134932,1997-08-03,GARDENING,GD3100,3,"Monsano, Ms. A. Margaret",CATALOG
202,141783,1997-09-08,SPORTS,SP1000,1,"Monsano, Ms. A. Margaret",CATALOG
203,141783,1997-09-08,SPORTS,SP1300,1,"Monsano, Ms. A. Margaret",CATALOG
204,141783,1997-09-08,SPORTS,SP2300,4,"Monsano, Ms. A. Margaret",CATALOG
205,149271,1997-10-18,TOYS,TY3800,1,"Monsano, Ms. A. Margaret",CATALOG
206,152304,1997-11-03,TOYS,TY3700,1,"Monsano, Ms. A. Margaret",CATALOG
207,156806,1997-11-27,SPORTS,SP2200,1,"Monsano, Ms. A. Margaret",CATALOG
208,161595,1997-12-22,SOFTWARE,SW7221,4,"Monsano, Ms. A. Margaret",CATALOG
209,212564,1998-08-22,SPORTS,SP1100,4,"Monsano, Ms. A. Margaret",CATALOG
210,212564,1998-08-22,SPORTS,SP1300,1,"Monsano, Ms. A. Margaret",CATALOG
211,212564,1998-08-22,SPORTS,SP3100,1,"Monsano, Ms. A. Margaret",CATALOG
212,212564,1998-08-22,SPORTS,SP3300,3,"Monsano, Ms. A. Margaret",CATALOG
213,213061,1998-08-24,SPORTS,SP1000,4,"Monsano, Ms. A. Margaret",CATALOG
214,213061,1998-08-24,SPORTS,SP3100,1,"Monsano, Ms. A. Margaret",CATALOG
215,99756,2000-04-19,PETS,PT1100,3,"Monsano, Ms. A. Margaret",CATALOG
216,99756,2000-04-19,PETS,PT3100,1,"Monsano, Ms. A. Margaret",CATALOG
217,99756,2000-04-19,PETS,PT3500,3,"Monsano, Ms. A. Margaret",CATALOG
218,130740,2000-10-19,SOFTWARE,SW1828,1,"Monsano, Ms. A. Margaret",CATALOG
219,134932,2000-11-10,GARDENING,GD3100,3,"Monsano, Ms. A. Margaret",CATALOG
220,141783,2000-12-16,SPORTS,SP1000,1,"Monsano, Ms. A. Margaret",CATALOG
221,141783,2000-12-16,SPORTS,SP1300,1,"Monsano, Ms. A. Margaret",CATALOG
222,141783,2000-12-16,SPORTS,SP2300,4,"Monsano, Ms. A. Margaret",CATALOG
223,149271,2001-01-25,TOYS,TY3800,1,"Monsano, Ms. A. Margaret",CATALOG
224,152304,2001-02-10,TOYS,TY3700,1,"Monsano, Ms. A. Margaret",CATALOG
225,156806,2001-03-06,SPORTS,SP2200,1,"Monsano, Ms. A. Margaret",CATALOG
226,161595,2001-03-31,SOFTWARE,SW7221,4,"Monsano, Ms. A. Margaret",CATALOG
227,126004,1997-06-17,TOYS,TY1950,1,"Albertson, Mr. Erin",CATALOG
228,126004,1997-06-17,TOYS,TY4600,3,"Albertson, Mr. Erin",CATALOG
229,126004,1997-06-17,TOYS,TY5300,1,"Albertson, Mr. Erin",CATALOG
230,129631,1997-07-06,PETS,PT4500,2,"Albertson, Mr. Erin",CATALOG
231,142730,1997-09-13,GARDENING,GD2200,1,"Albertson, Mr. Erin",CATALOG
232,142730,1997-09-13,GARDENING,GD2400,1,"Albertson, Mr. Erin",CATALOG
233,142730,1997-09-13,GARDENING,GD3200,1,"Albertson, Mr. Erin",CATALOG
234,142730,1997-09-13,GARDENING,GD4100,1,"Albertson, Mr. Erin",CATALOG
235,147805,1997-10-10,PETS,PT3100,1,"Albertson, Mr. Erin",CATALOG
236,147805,1997-10-10,PETS,PT4100,1,"Albertson, Mr. Erin",CATALOG
237,147805,1997-10-10,PETS,PT4600,4,"Albertson, Mr. Erin",CATALOG
238,147805,1997-10-10,PETS,PT4600,1,"Albertson, Mr. Erin",CATALOG
239,198963,1998-06-25,SPORTS,SP2400,4,"Albertson, Mr. Erin",CATALOG
240,229595,1998-11-02,PETS,PT2100,1,"Albertson, Mr. Erin",CATALOG
241,233338,1998-11-18,COLLECTIBLES,CC4100,1,"Albertson, Mr. Erin",CATALOG
242,237797,1998-12-07,PETS,PT4100,2,"Albertson, Mr. Erin",CATALOG
243,126004,2000-09-24,TOYS,TY1950,1,"Albertson, Mr. Erin",CATALOG
244,126004,2000-09-24,TOYS,TY4600,3,"Albertson, Mr. Erin",CATALOG
245,126004,2000-09-24,TOYS,TY5300,1,"Albertson, Mr. Erin",CATALOG
246,129631,2000-10-13,PETS,PT4500,2,"Albertson, Mr. Erin",CATALOG
247,147805,2001-01-17,PETS,PT3100,1,"Albertson, Mr. Erin",CATALOG
248,147805,2001-01-17,PETS,PT4100,1,"Albertson, Mr. Erin",CATALOG
249,147805,2001-01-17,PETS,PT4600,4,"Albertson, Mr. Erin",CATALOG
250,147805,2001-01-17,PETS,PT4600,1,"Albertson, Mr. Erin",CATALOG
251,116399,1997-04-27,GARDENING,GD3200,1,"Eberhart, Ms. Tonya",CATALOG
252,152307,1997-11-03,TOYS,TY3400,4,"Eberhart, Ms. Tonya",CATALOG
253,211399,1998-08-17,SPORTS,SP2300,1,"Eberhart, Ms. Tonya",CATALOG
254,211635,1998-08-18,SOFTWARE,SW2181,4,"Eberhart, Ms. Tonya",CATALOG
255,211635,1998-08-18,SOFTWARE,SW3545,1,"Eberhart, Ms. Tonya",CATALOG
256,211635,1998-08-18,SOFTWARE,SW5952,4,"Eberhart, Ms. Tonya",CATALOG
257,213064,1998-08-24,TOYS,TY2400,1,"Eberhart, Ms. Tonya",CATALOG
258,231459,1998-11-10,SPORTS,SP2600,1,"Eberhart, Ms. Tonya",CATALOG
259,116399,2000-08-04,GARDENING,GD3200,1,"Eberhart, Ms. Tonya",CATALOG
260,152307,2001-02-10,TOYS,TY3400,4,"Eberhart, Ms. Tonya",CATALOG
261,113748,1997-04-12,PETS,PT4300,1,"Jones, Mr. Samuel",CATALOG
262,137757,1997-08-18,TOYS,TY4600,1,"Jones, Mr. Samuel",CATALOG
263,147434,1997-10-08,PETS,PT1400,4,"Jones, Mr. Samuel",CATALOG
264,153927,1997-11-12,TOYS,TY4200,1,"Jones, Mr. Samuel",CATALOG
265,230993,1998-11-08,SPORTS,SP1300,1,"Jones, Mr. Samuel",CATALOG
266,230993,1998-11-08,SPORTS,SP1400,3,"Jones, Mr. Samuel",CATALOG
267,236105,1998-11-30,PETS,PT1200,1,"Jones, Mr. Samuel",CATALOG
268,241923,1998-12-25,SOFTWARE,SW7385,1,"Jones, Mr. Samuel",CATALOG
269,113748,2000-07-20,PETS,PT4300,1,"Jones, Mr. Samuel",CATALOG
270,137757,2000-11-25,TOYS,TY4600,1,"Jones, Mr. Samuel",CATALOG
271,147434,2001-01-15,PETS,PT1400,4,"Jones, Mr. Samuel",CATALOG
272,153927,2001-02-19,TOYS,TY4200,1,"Jones, Mr. Samuel",CATALOG
273,105518,1997-02-21,PETS,PT1300,4,"Jones, Ms. Kat",CATALOG
274,143136,1997-09-15,SPORTS,SP1400,1,"Jones, Ms. Kat",CATALOG
275,143136,1997-09-15,SPORTS,SP2500,2,"Jones, Ms. Kat",CATALOG
276,143136,1997-09-15,SPORTS,SP2600,3,"Jones, Ms. Kat",CATALOG
277,148359,1997-10-13,PETS,PT2100,1,"Jones, Ms. Kat",CATALOG
278,150618,1997-10-25,GARDENING,GD1500,1,"Jones, Ms. Kat",CATALOG
279,150618,1997-10-25,GARDENING,GD3000,3,"Jones, Ms. Kat",CATALOG
280,150618,1997-10-25,GARDENING,GD3200,2,"Jones, Ms. Kat",CATALOG
281,168649,1998-02-03,GARDENING,GD1100,1,"Jones, Ms. Kat",CATALOG
282,187576,1998-05-07,TOYS,TY1200,3,"Jones, Ms. Kat",CATALOG
283,187576,1998-05-07,TOYS,TY1850,1,"Jones, Ms. Kat",CATALOG
284,187576,1998-05-07,TOYS,TY2300,4,"Jones, Ms. Kat",CATALOG
285,187576,1998-05-07,TOYS,TY3800,1,"Jones, Ms. Kat",CATALOG
286,209481,1998-08-09,PETS,PT2200,1,"Jones, Ms. Kat",CATALOG
287,209481,1998-08-09,PETS,PT2300,1,"Jones, Ms. Kat",CATALOG
288,209481,1998-08-09,PETS,PT3200,1,"Jones, Ms. Kat",CATALOG
289,209481,1998-08-09,PETS,PT3200,3,"Jones, Ms. Kat",CATALOG
290,218965,1998-09-18,GARDENING,GD2200,1,"Jones, Ms. Kat",CATALOG
291,223524,1998-10-07,GARDENING,GD4100,1,"Jones, Ms. Kat",CATALOG
292,225348,1998-10-15,TOYS,TY4200,1,"Jones, Ms. Kat",CATALOG
293,239627,1998-12-15,PETS,PT4600,1,"Jones, Ms. Kat",CATALOG
294,105518,2000-05-31,PETS,PT1300,4,"Jones, Ms. Kat",CATALOG
295,148359,2001-01-20,PETS,PT2100,1,"Jones, Ms. Kat",CATALOG
296,110993,1997-03-27,SPORTS,SP1200,1,"Jillian, Ms. Rue",CATALOG
297,130222,1997-07-09,TOYS,TY4200,1,"Jillian, Ms. Rue",CATALOG
298,158917,1997-12-08,COLLECTIBLES,CC2200,3,"Jillian, Ms. Rue",CATALOG
299,163533,1998-01-02,SPORTS,SP1000,1,"Jillian, Ms. Rue",CATALOG
300,179408,1998-03-31,SOFTWARE,SW1005,3,"Jillian, Ms. Rue",CATALOG
301,179408,1998-03-31,SOFTWARE,SW7013,1,"Jillian, Ms. Rue",CATALOG
302,179408,1998-03-31,SOFTWARE,SW7573,1,"Jillian, Ms. Rue",CATALOG
303,179408,1998-03-31,SOFTWARE,SW9604,1,"Jillian, Ms. Rue",CATALOG
304,180934,1998-04-07,COLLECTIBLES,CC1500,4,"Jillian, Ms. Rue",CATALOG
305,182262,1998-04-13,GARDENING,GD1400,1,"Jillian, Ms. Rue",CATALOG
306,198049,1998-06-21,SPORTS,SP2000,3,"Jillian, Ms. Rue",CATALOG
307,198049,1998-06-21,SPORTS,SP2400,1,"Jillian, Ms. Rue",CATALOG
308,198049,1998-06-21,SPORTS,SP2500,1,"Jillian, Ms. Rue",CATALOG
