ID,INV,PCODE,DATE,CATALOG,QTY,CUSTNUM,ORIGEN
35,3138000,GD1001,2000-11-13,GARDENING,2,"Brahm, Mr. T. L.",WEB
36,3184000,GD1600,2000-11-14,GARDENING,1,"Jones, Mr. T. J.",WEB
37,3184000,GD2200,2000-11-14,GARDENING,3,"Jones, Mr. T. J.",WEB
38,3184000,GD3200,2000-11-14,GARDENING,1,"Jones, Mr. T. J.",WEB
39,3184000,PT1300,2001-04-13,PETS,3,"Jones, Mr. T. J.",WEB
40,3184000,PT1400,2001-02-26,PETS,3,"Jones, Mr. T. J.",WEB
41,3184000,SP3000,2001-01-11,SPORTS,1,"Jones, Mr. T. J.",WEB
42,3184000,SP3000,2001-02-06,SPORTS,1,"Jones, Mr. T. J.",WEB
43,3184000,TY1500,2000-11-02,TOYS,4,"Jones, Mr. T. J.",WEB
44,3184000,TY2600,2000-11-02,TOYS,2,"Jones, Mr. T. J.",WEB
45,3184000,TY4500,2001-05-07,TOYS,1,"Jones, Mr. T. J.",WEB
46,3184000,TY5200,2000-11-02,TOYS,1,"Jones, Mr. T. J.",WEB
47,3184000,TY5300,2000-11-02,TOYS,2,"Jones, Mr. T. J.",WEB
48,3263000,PT2300,2001-04-11,PETS,1,"Marks, Mr. B. D.",WEB
49,3263000,SP3300,2001-04-07,SPORTS,3,"Marks, Mr. B. D.",WEB
50,3263000,TY1950,2000-07-05,TOYS,4,"Marks, Mr. B. D.",WEB
51,3273000,GD2000,2000-08-30,GARDENING,1,"Jones, Ms. Jeannette",WEB
52,3273000,PT1200,2000-07-23,PETS,1,"Jones, Ms. Jeannette",WEB
53,3273000,PT2100,2000-07-23,PETS,2,"Jones, Ms. Jeannette",WEB
54,3273000,SP3300,2001-05-20,SPORTS,1,"Jones, Ms. Jeannette",WEB
55,3273000,TY1300,2000-12-29,TOYS,3,"Jones, Ms. Jeannette",WEB
56,3273000,TY4200,2000-12-29,TOYS,1,"Jones, Ms. Jeannette",WEB
57,3273000,TY5300,2000-12-29,TOYS,1,"Jones, Ms. Jeannette",WEB
58,3388000,GD2000,2000-12-23,GARDENING,1,"Klingfelt, Ms. Liza",WEB
59,3388000,GD2300,2001-04-09,GARDENING,1,"Klingfelt, Ms. Liza",WEB
60,3388000,PT1000,2000-12-23,PETS,1,"Klingfelt, Ms. Liza",WEB
61,3388000,PT2000,2000-12-28,PETS,1,"Klingfelt, Ms. Liza",WEB
62,3388000,PT2400,2000-12-23,PETS,4,"Klingfelt, Ms. Liza",WEB
63,3388000,SP2200,2001-06-28,SPORTS,1,"Klingfelt, Ms. Liza",WEB
64,3388000,TY2100,2001-04-20,TOYS,3,"Klingfelt, Ms. Liza",WEB
65,3388000,TY4100,2001-05-06,TOYS,1,"Klingfelt, Ms. Liza",WEB
66,3513000,SP2200,2001-02-16,SPORTS,1,"Manness, Mr. Mel",WEB
67,3513000,SP3300,2001-07-07,SPORTS,1,"Manness, Mr. Mel",WEB
68,3513000,TY2500,2000-10-16,TOYS,1,"Manness, Mr. Mel",WEB
69,3638000,SP2400,2001-08-01,SPORTS,1,"Cockrell, Mr. M. C.",WEB
70,3638000,TY4500,2000-12-25,TOYS,1,"Cockrell, Mr. M. C.",WEB
71,3763000,GD1300,2001-07-03,GARDENING,1,"Stewart, Mr. S. R.",WEB
72,3763000,GD2400,2001-07-03,GARDENING,3,"Stewart, Mr. S. R.",WEB
73,3763000,GD3100,2001-07-03,GARDENING,1,"Stewart, Mr. S. R.",WEB
74,3763000,GD4200,2001-07-03,GARDENING,1,"Stewart, Mr. S. R.",WEB
75,3763000,SP2000,2000-08-06,SPORTS,1,"Stewart, Mr. S. R.",WEB
76,3763000,SP3300,2001-05-13,SPORTS,1,"Stewart, Mr. S. R.",WEB
77,3888000,SP1000,2000-11-03,SPORTS,1,"Watson, Mr. Ed",WEB
78,3906000,SP1000,2000-09-11,SPORTS,3,"Jones, Ms. Annie",WEB
79,3906000,SP1400,2000-09-11,SPORTS,4,"Jones, Ms. Annie",WEB
80,3906000,SP2200,2000-12-03,SPORTS,3,"Jones, Ms. Annie",WEB
81,3906000,SP2400,2000-09-11,SPORTS,1,"Jones, Ms. Annie",WEB
82,4013000,TY2400,2001-03-12,TOYS,1,"Monroe, Ms. Julie",WEB
83,4138000,GD2200,2000-11-12,GARDENING,4,"Frederik, Mr. Frank",WEB
84,4138000,GD4000,2000-08-03,GARDENING,2,"Frederik, Mr. Frank",WEB
85,4138000,SP1300,2000-08-20,SPORTS,1,"Frederik, Mr. Frank",WEB
86,4138000,SP3300,2001-07-24,SPORTS,1,"Frederik, Mr. Frank",WEB
87,4138000,TY1650,2001-05-30,TOYS,1,"Frederik, Mr. Frank",WEB
88,4138000,TY1100,2001-05-30,TOYS,1,"Frederik, Mr. Frank",WEB
89,4138000,TY2500,2001-05-30,TOYS,4,"Frederik, Mr. Frank",WEB
90,4138000,TY3800,2001-05-30,TOYS,2,"Frederik, Mr. Frank",WEB
91,4263000,GD1100,2001-06-19,GARDENING,1,"Maadje, Mr. Leo",WEB
92,4263000,GD3100,2000-09-23,GARDENING,1,"Maadje, Mr. Leo",WEB
93,4263000,SP1000,2000-11-24,SPORTS,1,"Maadje, Mr. Leo",WEB
94,4263000,SP1200,2001-02-01,SPORTS,1,"Maadje, Mr. Leo",WEB
95,4263000,SP2400,2001-06-09,SPORTS,2,"Maadje, Mr. Leo",WEB
96,4263000,SP2600,2000-08-17,SPORTS,3,"Maadje, Mr. Leo",WEB
97,4263000,TY5200,2001-04-14,TOYS,1,"Maadje, Mr. Leo",WEB
98,4388000,GD3400,2000-11-04,GARDENING,1,"Verrella, Ms. Nancy",WEB
99,4388000,TY5400,2000-08-06,TOYS,1,"Verrella, Ms. Nancy",WEB
100,4401000,GD2400,2000-09-13,GARDENING,1,"Hopkins, Ms. Stella",WEB
101,4401000,PT2300,2001-02-27,PETS,2,"Hopkins, Ms. Stella",WEB
102,4401000,SP1100,2001-01-24,SPORTS,1,"Hopkins, Ms. Stella",WEB
103,4401000,TY1400,2001-03-17,TOYS,1,"Hopkins, Ms. Stella",WEB
104,4401000,TY2500,2001-03-01,TOYS,1,"Hopkins, Ms. Stella",WEB
105,4401000,TY3100,2001-03-20,TOYS,1,"Hopkins, Ms. Stella",WEB
106,4513000,PT1100,2001-06-30,PETS,1,"Mooreson, Ms. Michelle",WEB
107,4513000,PT2100,2001-06-30,PETS,2,"Mooreson, Ms. Michelle",WEB
108,4513000,SP2300,2000-10-20,SPORTS,1,"Mooreson, Ms. Michelle",WEB
109,4513000,TY4600,2001-05-12,TOYS,1,"Mooreson, Ms. Michelle",WEB
110,4617000,GD3400,2000-07-16,GARDENING,1,"Jones, Mr. Ricardo",WEB
111,4617000,PT2000,2000-07-20,PETS,1,"Jones, Mr. Ricardo",WEB
112,4617000,SP1600,2000-09-21,SPORTS,4,"Jones, Mr. Ricardo",WEB
113,4638000,GD1001,2000-09-22,GARDENING,1,"Wise, Mr. C. J.",WEB
114,4638000,PT1100,2000-11-07,PETS,1,"Wise, Mr. C. J.",WEB
115,4638000,PT1400,2000-11-07,PETS,3,"Wise, Mr. C. J.",WEB
116,4638000,PT2200,2000-11-07,PETS,1,"Wise, Mr. C. J.",WEB
117,4638000,SP2000,2000-10-16,SPORTS,1,"Wise, Mr. C. J.",WEB
118,4638000,SP2500,2001-03-09,SPORTS,1,"Wise, Mr. C. J.",WEB
119,4638000,TY4300,2000-11-28,TOYS,4,"Wise, Mr. C. J.",WEB
120,4763000,GD1300,2001-07-05,GARDENING,2,"Black, Ms. Heather",WEB
121,4763000,PT2000,2001-05-20,PETS,1,"Black, Ms. Heather",WEB
122,4763000,PT2100,2001-05-20,PETS,2,"Black, Ms. Heather",WEB
123,4763000,PT3100,2001-05-20,PETS,3,"Black, Ms. Heather",WEB
124,4763000,SP1400,2000-10-02,SPORTS,1,"Black, Ms. Heather",WEB
125,4763000,SP3400,2001-07-25,SPORTS,1,"Black, Ms. Heather",WEB
126,4763000,TY1700,2000-12-20,TOYS,1,"Black, Ms. Heather",WEB
127,4763000,GD3100,2000-11-07,GARDENING,1,"Black, Ms. Heather",WEB
128,4891000,PT1400,2001-03-03,PETS,1,"Ashford, Mr. John",WEB
129,4891000,SP3200,2000-08-02,SPORTS,1,"Ashford, Mr. John",WEB
130,4891000,TY1650,2001-01-26,TOYS,1,"Ashford, Mr. John",WEB
131,4891000,TY1750,2001-01-26,TOYS,1,"Ashford, Mr. John",WEB
132,4891000,TY3700,2001-01-26,TOYS,1,"Ashford, Mr. John",WEB
133,4941000,GD1500,2000-08-11,GARDENING,1,"Janus, Mr. David",WEB
134,4941000,GD1500,2000-12-03,GARDENING,1,"Janus, Mr. David",WEB
135,4941000,GD2000,2000-12-03,GARDENING,3,"Janus, Mr. David",WEB
136,4941000,PT1300,2001-01-04,PETS,4,"Janus, Mr. David",WEB
137,4941000,PT2100,2001-01-04,PETS,1,"Janus, Mr. David",WEB
138,4941000,PT2300,2001-01-04,PETS,1,"Janus, Mr. David",WEB
139,4941000,TY1200,2000-09-23,TOYS,1,"Janus, Mr. David",WEB
140,4941000,TY2200,2000-09-23,TOYS,2,"Janus, Mr. David",WEB
141,4941000,TY2500,2000-09-23,TOYS,1,"Janus, Mr. David",WEB
142,4941000,TY3200,2001-03-27,TOYS,1,"Janus, Mr. David",WEB
143,4941000,TY5100,2000-09-23,TOYS,1,"Janus, Mr. David",WEB
144,5016000,PT2300,2000-07-07,PETS,1,"Conway, Mr. Merlin",WEB
145,5016000,SP1000,2001-01-04,SPORTS,4,"Conway, Mr. Merlin",WEB
146,5016000,SP1300,2001-01-04,SPORTS,2,"Conway, Mr. Merlin",WEB
147,5016000,SP1500,2001-01-04,SPORTS,1,"Conway, Mr. Merlin",WEB
148,5016000,SP2500,2001-01-04,SPORTS,4,"Conway, Mr. Merlin",WEB
149,5016000,SP3100,2000-12-16,SPORTS,1,"Conway, Mr. Merlin",WEB
150,5141000,GD3000,2000-10-25,GARDENING,1,"Wang, Ms. M. S.",WEB
151,5141000,PT3300,2001-03-13,PETS,1,"Wang, Ms. M. S.",WEB
152,5141000,SP1600,2000-08-19,SPORTS,1,"Wang, Ms. M. S.",WEB
153,5141000,SP2000,2000-10-11,SPORTS,1,"Wang, Ms. M. S.",WEB
154,5141000,TY2500,2001-03-22,TOYS,2,"Wang, Ms. M. S.",WEB
155,5150000,PT2200,2001-01-07,PETS,4,"Jones, Ms. G. L.",WEB
156,5150000,TY4700,2000-10-20,TOYS,1,"Jones, Ms. G. L.",WEB
157,5266000,GD1100,2001-07-31,GARDENING,3,"Finster, Mr. Howard",WEB
158,5266000,SP3200,2000-11-08,SPORTS,3,"Finster, Mr. Howard",WEB
159,5266000,SP3300,2000-09-28,SPORTS,4,"Finster, Mr. Howard",WEB
160,5266000,TY1100,2000-11-18,TOYS,1,"Finster, Mr. Howard",WEB
161,5266000,TY3800,2001-05-10,TOYS,1,"Finster, Mr. Howard",WEB
162,5391000,PT1100,2001-02-20,PETS,1,"Buscemi, Mr. Steve",WEB
163,5391000,PT1300,2001-08-09,PETS,4,"Buscemi, Mr. Steve",WEB
164,5391000,PT2300,2001-02-20,PETS,3,"Buscemi, Mr. Steve",WEB
165,5391000,SP1000,2001-05-06,SPORTS,1,"Buscemi, Mr. Steve",WEB
166,5391000,SP2200,2001-05-06,SPORTS,1,"Buscemi, Mr. Steve",WEB
167,5391000,SP2400,2001-05-06,SPORTS,1,"Buscemi, Mr. Steve",WEB
168,137000,GD2200,2000-09-10,GARDENING,1,"Kraft, Ms. Rose",WEB
169,137000,GD3100,2001-07-20,GARDENING,3,"Kraft, Ms. Rose",WEB
170,137000,GD3300,2001-07-20,GARDENING,1,"Kraft, Ms. Rose",WEB
171,137000,GD3400,2001-07-20,GARDENING,1,"Kraft, Ms. Rose",WEB
172,137000,GD4300,2001-07-20,GARDENING,3,"Kraft, Ms. Rose",WEB
173,137000,PT1300,2000-09-13,PETS,3,"Kraft, Ms. Rose",WEB
174,137000,SP1000,2000-08-23,SPORTS,1,"Kraft, Ms. Rose",WEB
175,137000,SP1500,2001-02-22,SPORTS,1,"Kraft, Ms. Rose",WEB
176,137000,TY1200,2001-01-24,TOYS,4,"Kraft, Ms. Rose",WEB
177,137000,TY2100,2001-01-24,TOYS,1,"Kraft, Ms. Rose",WEB
178,137000,TY2300,2001-01-24,TOYS,1,"Kraft, Ms. Rose",WEB
179,137000,TY4100,2000-12-08,TOYS,1,"Kraft, Ms. Rose",WEB
180,137000,TY4100,2001-01-24,TOYS,1,"Kraft, Ms. Rose",WEB
181,262000,SP2400,2001-03-03,SPORTS,4,"Yang, Ms. Joan",WEB
182,262000,SP2700,2001-05-19,SPORTS,4,"Yang, Ms. Joan",WEB
183,262000,TY1800,2000-11-08,TOYS,2,"Yang, Ms. Joan",WEB
184,387000,GD2000,2000-10-05,GARDENING,1,"Hinfelt, Mr. B. K.",WEB
185,387000,PT2100,2000-07-03,PETS,1,"Hinfelt, Mr. B. K.",WEB
186,387000,SP1200,2001-05-17,SPORTS,1,"Hinfelt, Mr. B. K.",WEB
187,387000,SP2200,2001-07-14,SPORTS,1,"Hinfelt, Mr. B. K.",WEB
188,387000,SP2300,2001-07-14,SPORTS,1,"Hinfelt, Mr. B. K.",WEB
189,387000,SP2400,2001-07-14,SPORTS,1,"Hinfelt, Mr. B. K.",WEB
190,387000,SP3300,2000-08-20,SPORTS,1,"Hinfelt, Mr. B. K.",WEB
191,387000,TY1100,2001-02-27,TOYS,2,"Hinfelt, Mr. B. K.",WEB
192,387000,TY3200,2001-02-27,TOYS,2,"Hinfelt, Mr. B. K.",WEB
193,387000,TY4200,2001-02-27,TOYS,1,"Hinfelt, Mr. B. K.",WEB
194,387000,TY5300,2001-02-27,TOYS,1,"Hinfelt, Mr. B. K.",WEB
195,456000,GD3400,2000-06-27,GARDENING,3,"Jones, Mr. T. J.",WEB
196,456000,PT2200,2001-05-07,PETS,3,"Jones, Mr. T. J.",WEB
197,456000,PT3200,2001-06-17,PETS,2,"Jones, Mr. T. J.",WEB
198,456000,SP3400,2001-02-03,SPORTS,1,"Jones, Mr. T. J.",WEB
199,456000,TY3800,2001-05-30,TOYS,1,"Jones, Mr. T. J.",WEB
200,512000,SP1500,2001-07-05,SPORTS,1,"Gibson, Mr. R. K.",WEB
201,637000,PT1400,2000-11-23,PETS,1,"Rose, Mr. J. L.",WEB
202,637000,PT2200,2000-11-23,PETS,1,"Rose, Mr. J. L.",WEB
203,637000,TY4400,2001-02-14,TOYS,1,"Rose, Mr. J. L.",WEB
204,733000,TY1700,2001-02-13,TOYS,4,"Jones, Ms. Sallie",WEB
205,762000,SP2400,2000-11-07,SPORTS,1,"Montrose, Mr. B. T.",WEB
206,887000,PT2100,2001-03-15,PETS,1,"Monsano, Ms. A. M.",WEB
207,887000,SP2600,2001-05-25,SPORTS,1,"Monsano, Ms. A. M.",WEB
208,887000,TY2400,2001-01-28,TOYS,1,"Monsano, Ms. A. M.",WEB
209,887000,TY3700,2001-01-28,TOYS,1,"Monsano, Ms. A. M.",WEB
210,887000,TY4600,2001-01-28,TOYS,1,"Monsano, Ms. A. M.",WEB
211,887000,TY5100,2001-01-28,TOYS,4,"Monsano, Ms. A. M.",WEB
212,914000,PT1100,2000-06-28,PETS,3,"Monsano, Ms. A. Margaret",WEB
213,914000,PT3100,2000-06-28,PETS,1,"Monsano, Ms. A. Margaret",WEB
214,914000,SP1000,2001-02-24,SPORTS,1,"Monsano, Ms. A. Margaret",WEB
215,914000,SP1300,2001-02-24,SPORTS,1,"Monsano, Ms. A. Margaret",WEB
216,914000,SP2200,2001-05-15,SPORTS,1,"Monsano, Ms. A. Margaret",WEB
217,914000,SP2300,2001-02-24,SPORTS,4,"Monsano, Ms. A. Margaret",WEB
218,914000,TY3700,2001-04-21,TOYS,1,"Monsano, Ms. A. Margaret",WEB
219,914000,TY3800,2001-04-05,TOYS,1,"Monsano, Ms. A. Margaret",WEB
220,914000,GD3100,2001-01-19,GARDENING,3,"Monsano, Ms. A. Margaret",WEB
221,1012000,GD2200,2001-03-01,GARDENING,1,"Albertson, Mr. Erin",WEB
222,1012000,GD2400,2001-03-01,GARDENING,1,"Albertson, Mr. Erin",WEB
223,1012000,GD3200,2001-03-01,GARDENING,1,"Albertson, Mr. Erin",WEB
224,1012000,GD4100,2001-03-01,GARDENING,1,"Albertson, Mr. Erin",WEB
225,1012000,PT4600,2001-03-28,PETS,1,"Albertson, Mr. Erin",WEB
226,1012000,TY1950,2000-12-03,TOYS,1,"Albertson, Mr. Erin",WEB
227,1012000,TY4600,2000-12-03,TOYS,3,"Albertson, Mr. Erin",WEB
228,1012000,TY5300,2000-12-03,TOYS,1,"Albertson, Mr. Erin",WEB
229,1137000,GD3200,2000-10-13,GARDENING,1,"Eberhart, Ms. Tonya",WEB
230,1137000,TY3400,2001-04-21,TOYS,4,"Eberhart, Ms. Tonya",WEB
231,1222000,PT1400,2001-03-26,PETS,4,"Jones, Mr. Samuel",WEB
232,1222000,TY4200,2001-04-30,TOYS,1,"Jones, Mr. Samuel",WEB
233,1222000,TY4600,2001-02-03,TOYS,1,"Jones, Mr. Samuel",WEB
234,1250000,GD1100,2001-07-22,GARDENING,1,"Jones, Ms. Kat",WEB
235,1250000,GD1500,2001-04-12,GARDENING,1,"Jones, Ms. Kat",WEB
236,1250000,GD3000,2001-04-12,GARDENING,3,"Jones, Ms. Kat",WEB
237,1250000,GD3200,2001-04-12,GARDENING,2,"Jones, Ms. Kat",WEB
238,1250000,PT1300,2000-08-09,PETS,4,"Jones, Ms. Kat",WEB
239,1250000,PT2100,2001-03-31,PETS,1,"Jones, Ms. Kat",WEB
240,1250000,SP1400,2001-03-03,SPORTS,1,"Jones, Ms. Kat",WEB
241,1250000,SP2500,2001-03-03,SPORTS,2,"Jones, Ms. Kat",WEB
242,1262000,SP1000,2001-06-20,SPORTS,1,"Jillian, Ms. Rue",WEB
243,1262000,SP1200,2000-09-12,SPORTS,1,"Jillian, Ms. Rue",WEB
244,1262000,TY4200,2000-12-25,TOYS,1,"Jillian, Ms. Rue",WEB
245,1355000,SP1300,2000-11-16,SPORTS,1,"Jones, Ms. Terri",WEB
246,1387000,GD2000,2001-01-04,GARDENING,1,"Horner, Mr. J. M.",WEB
247,1387000,GD3100,2001-01-04,GARDENING,1,"Horner, Mr. J. M.",WEB
248,1387000,GD3400,2001-01-04,GARDENING,2,"Horner, Mr. J. M.",WEB
249,1387000,PT4100,2001-01-03,PETS,1,"Horner, Mr. J. M.",WEB
250,1387000,SP1500,2001-01-02,SPORTS,1,"Horner, Mr. J. M.",WEB
251,1387000,SP2000,2001-01-02,SPORTS,2,"Horner, Mr. J. M.",WEB
252,1387000,SP2500,2000-09-28,SPORTS,3,"Horner, Mr. J. M.",WEB
253,1387000,SP2500,2001-01-02,SPORTS,1,"Horner, Mr. J. M.",WEB
254,1387000,SP2700,2001-01-02,SPORTS,1,"Horner, Mr. J. M.",WEB
255,1512000,PT1300,2000-12-23,PETS,1,"Jackson, Mr. Ellis",WEB
256,1512000,PT1400,2000-12-23,PETS,4,"Jackson, Mr. Ellis",WEB
257,1512000,PT2200,2000-12-23,PETS,3,"Jackson, Mr. Ellis",WEB
258,1512000,SP2600,2001-04-03,SPORTS,2,"Jackson, Mr. Ellis",WEB
259,1512000,TY2600,2000-06-30,TOYS,1,"Jackson, Mr. Ellis",WEB
260,1637000,SP1200,2000-10-08,SPORTS,1,"Gilley, Ms. Sue",WEB
261,1637000,SP2300,2001-05-29,SPORTS,1,"Gilley, Ms. Sue",WEB
262,1642000,SP1000,2000-12-22,SPORTS,4,"Jones, Ms. Margaret",WEB
263,1642000,SP1300,2000-12-22,SPORTS,1,"Jones, Ms. Margaret",WEB
264,1642000,SP2000,2000-12-22,SPORTS,4,"Jones, Ms. Margaret",WEB
265,1642000,SP3300,2000-12-03,SPORTS,1,"Jones, Ms. Margaret",WEB
266,1642000,SP3400,2000-12-22,SPORTS,3,"Jones, Ms. Margaret",WEB
267,1762000,GD1500,2001-01-20,GARDENING,1,"Moffet, Ms. Katarine",WEB
268,1762000,GD2200,2000-11-27,GARDENING,1,"Moffet, Ms. Katarine",WEB
269,1762000,SP2700,2000-07-06,SPORTS,1,"Moffet, Ms. Katarine",WEB
270,1762000,SP3400,2000-11-26,SPORTS,1,"Moffet, Ms. Katarine",WEB
271,1762000,TY1950,2000-09-28,TOYS,3,"Moffet, Ms. Katarine",WEB
272,1762000,TY5400,2001-06-03,TOYS,3,"Moffet, Ms. Katarine",WEB
273,1887000,GD1100,2001-05-21,GARDENING,4,"Freeman, Mr. Michael",WEB
274,1887000,SP2200,2001-08-05,SPORTS,1,"Freeman, Mr. Michael",WEB
275,1887000,SP2400,2001-04-16,SPORTS,3,"Freeman, Mr. Michael",WEB
276,1887000,TY1800,2000-12-09,TOYS,1,"Freeman, Mr. Michael",WEB
277,1912000,PT1300,2001-01-02,PETS,1,"Jones, Mr. Bob",WEB
278,1912000,PT1400,2001-03-27,PETS,1,"Jones, Mr. Bob",WEB
279,1912000,PT2200,2001-03-27,PETS,1,"Jones, Mr. Bob",WEB
280,1912000,PT4600,2001-03-27,PETS,1,"Jones, Mr. Bob",WEB
281,1912000,SP3300,2000-12-14,SPORTS,1,"Jones, Mr. Bob",WEB
282,1912000,TY1300,2000-11-17,TOYS,2,"Jones, Mr. Bob",WEB
283,1912000,TY2100,2000-11-17,TOYS,1,"Jones, Mr. Bob",WEB
284,1912000,TY2700,2000-11-17,TOYS,1,"Jones, Mr. Bob",WEB
285,1912000,TY4100,2000-11-17,TOYS,1,"Jones, Mr. Bob",WEB
286,1912000,TY4400,2001-04-03,TOYS,1,"Jones, Mr. Bob",WEB
287,2012000,PT4600,2000-10-22,PETS,1,"Romanoff, Mr. Sergei",WEB
288,2137000,GD2100,2000-08-09,GARDENING,1,"Chang, Ms. Kate",WEB
289,2137000,GD3300,2001-07-03,GARDENING,1,"Chang, Ms. Kate",WEB
290,2137000,SP1500,2000-10-02,SPORTS,1,"Chang, Ms. Kate",WEB
291,2137000,SP1500,2001-01-08,SPORTS,1,"Chang, Ms. Kate",WEB
292,2137000,SP2000,2001-01-08,SPORTS,1,"Chang, Ms. Kate",WEB
293,2137000,SP2200,2000-10-15,SPORTS,1,"Chang, Ms. Kate",WEB
294,2137000,SP2200,2000-10-21,SPORTS,3,"Chang, Ms. Kate",WEB
295,2137000,SP2400,2000-10-21,SPORTS,1,"Chang, Ms. Kate",WEB
296,2137000,SP2400,2001-01-08,SPORTS,3,"Chang, Ms. Kate",WEB
297,2137000,SP2500,2001-07-10,SPORTS,1,"Chang, Ms. Kate",WEB
298,2137000,SP3100,2001-01-08,SPORTS,2,"Chang, Ms. Kate",WEB
299,2137000,SP3400,2000-10-21,SPORTS,1,"Chang, Ms. Kate",WEB
300,2173000,GD1300,2001-07-12,GARDENING,1,"Jones, Ms. Ellen",WEB
301,2173000,GD4100,2001-08-01,GARDENING,1,"Jones, Ms. Ellen",WEB
302,2173000,SP1300,2001-01-03,SPORTS,4,"Jones, Ms. Ellen",WEB
303,2173000,SP2300,2000-08-04,SPORTS,4,"Jones, Ms. Ellen",WEB
304,2173000,SP2500,2000-11-28,SPORTS,1,"Jones, Ms. Ellen",WEB
305,2173000,TY1600,2001-05-11,TOYS,4,"Jones, Ms. Ellen",WEB
306,2173000,TY1950,2001-05-05,TOYS,1,"Jones, Ms. Ellen",WEB
307,2263000,GD2400,2001-07-20,GARDENING,1,"Ross, Ms. C. L.",WEB
308,2263000,PT2100,2001-05-26,PETS,1,"Ross, Ms. C. L.",WEB
309,2263000,TY4400,2001-02-09,TOYS,1,"Ross, Ms. C. L.",WEB
310,2349000,GD1010,2000-06-20,GARDENING,1,"Jones, Mr. T. J.",WEB
311,2349000,GD1200,2000-06-20,GARDENING,1,"Jones, Mr. T. J.",WEB
312,2349000,GD1200,2001-03-28,GARDENING,2,"Jones, Mr. T. J.",WEB
313,2349000,GD2000,2000-06-26,GARDENING,3,"Jones, Mr. T. J.",WEB
314,2349000,GD3000,2000-06-20,GARDENING,1,"Jones, Mr. T. J.",WEB
315,2349000,GD3100,2001-07-12,GARDENING,1,"Jones, Mr. T. J.",WEB
316,2349000,GD3300,2000-06-26,GARDENING,1,"Jones, Mr. T. J.",WEB
317,2349000,GD3400,2000-06-20,GARDENING,1,"Jones, Mr. T. J.",WEB
318,2349000,GD4100,2000-06-26,GARDENING,1,"Jones, Mr. T. J.",WEB
319,2349000,GD4200,2001-07-04,GARDENING,1,"Jones, Mr. T. J.",WEB
320,2349000,SP1000,2000-09-19,SPORTS,3,"Jones, Mr. T. J.",WEB
321,2349000,SP2600,2001-02-15,SPORTS,1,"Jones, Mr. T. J.",WEB
